[6771, 0, 6720, 19, 6652, 59, 6567, 78, 6483, 118, 6398, 137, 6296, 177, 6195, 197, 6076, 236, 5974, 275, 5856, 315, 5754, 354, 5635, 374, 5517, 413, 5398, 453, 5279, 492, 5161, 551, 5024, 591, 4886, 630, 4768, 669, 4630, 709, 4492, 768, 4354, 807, 4216, 847, 4078, 906, 3960, 945, 3822, 1004, 3684, 1044, 3566, 1103, 3428, 1142, 3310, 1201, 3172, 1241, 3054, 1300, 2935, 1339, 2817, 1399, 2699, 1458, 2581, 1497, 2463, 1556, 2344, 1596, 2226, 1655, 2128, 1714, 2009, 1753, 1891, 1812, 1793, 1852, 1694, 1911, 1596, 1950, 1497, 2009, 1399, 2049, 1300, 2108, 1201, 2147, 1103, 2206, 1024, 2108, 926, 2167, 847, 2226, 768, 2305, 689, 2364, 610, 2423, 532, 2482, 453, 2561, 374, 2620, 315, 2660, 256, 2699, 177, 2738, 118, 2778, 59, 2817, 0, 2857]
[6805, 59, 6754, 98, 6686, 118, 6601, 137, 6517, 177, 6432, 197, 6330, 236, 6228, 275, 6110, 295, 6008, 334, 5889, 374, 5788, 413, 5669, 453, 5551, 492, 5432, 532, 5313, 571, 5195, 610, 5064, 650, 4945, 689, 4807, 729, 4669, 788, 4532, 827, 4394, 866, 4256, 926, 4118, 965, 4000, 1004, 3862, 1064, 3724, 1103, 3605, 1162, 3467, 1201, 3349, 1261, 3231, 1320, 3093, 1359, 2975, 1418, 2857, 1458, 2738, 1517, 2620, 1556, 2502, 1615, 2384, 1674, 2266, 1714, 2167, 1773, 2049, 1812, 1931, 1871, 1832, 1931, 1733, 1970, 1635, 2029, 1536, 2068, 1438, 2128, 1339, 2167, 1241, 2226, 1142, 2266, 1064, 2167, 965, 2246, 886, 2305, 807, 2364, 729, 2423, 650, 2502, 571, 2561, 492, 2620, 413, 2679, 354, 2719, 295, 2758, 216, 2798, 157, 2857, 98, 2896, 39, 2935]
[6839, 118, 6788, 157, 6720, 177, 6635, 216, 6551, 236, 6466, 275, 6364, 295, 6262, 334, 6144, 374, 6042, 394, 5923, 433, 5822, 472, 5703, 512, 5584, 551, 5466, 591, 5347, 630, 5228, 669, 5103, 709, 4985, 748, 4847, 807, 4709, 847, 4571, 886, 4433, 945, 4295, 985, 4157, 1024, 4039, 1083, 3901, 1123, 3763, 1182, 3645, 1221, 3507, 1280, 3389, 1320, 3270, 1379, 3133, 1418, 3014, 1477, 2896, 1536, 2778, 1576, 2660, 1635, 2541, 1674, 2423, 1733, 2305, 1793, 2206, 1832, 2088, 1891, 1990, 1931, 1871, 1990, 1773, 2049, 1674, 2088, 1576, 2147, 1477, 2187, 1379, 2246, 1280, 2285, 1182, 2325, 1103, 2246, 1004, 2305, 926, 2364, 847, 2443, 768, 2502, 689, 2561, 610, 2620, 532, 2699, 472, 2738, 394, 2778, 334, 2837, 256, 2876, 197, 2916, 137, 2955, 78, 2995]
[6873, 197, 6822, 216, 6754, 236, 6669, 275, 6584, 295, 6500, 334, 6398, 354, 6296, 394, 6178, 433, 6076, 472, 5957, 492, 5856, 532, 5737, 571, 5618, 610, 5500, 650, 5381, 689, 5262, 729, 5161, 788, 5024, 827, 4886, 866, 4748, 906, 4610, 965, 4472, 1004, 4334, 1044, 4216, 1103, 4078, 1142, 3940, 1201, 3802, 1241, 3684, 1300, 3546, 1339, 3428, 1399, 3310, 1438, 3172, 1497, 3054, 1536, 2935, 1596, 2817, 1655, 2699, 1694, 2581, 1753, 2463, 1793, 2344, 1852, 2246, 1911, 2128, 1950, 2029, 2009, 1911, 2049, 1812, 2108, 1714, 2147, 1615, 2206, 1517, 2246, 1418, 2305, 1320, 2344, 1221, 2403, 1142, 2305, 1044, 2384, 965, 2443, 886, 2502, 807, 2561, 729, 2640, 650, 2699, 571, 2758, 512, 2798, 433, 2857, 374, 2896, 295, 2935, 236, 2975, 177, 3014, 118, 3054]
[6923, 256, 6856, 275, 6788, 315, 6720, 334, 6618, 374, 6534, 394, 6432, 433, 6330, 453, 6228, 492, 6110, 532, 6008, 571, 5889, 610, 5771, 650, 5652, 689, 5534, 729, 5415, 768, 5313, 807, 5195, 847, 5064, 886, 4926, 926, 4788, 985, 4650, 1024, 4512, 1064, 4374, 1123, 4256, 1162, 4118, 1221, 3980, 1261, 3862, 1320, 3724, 1359, 3605, 1418, 3467, 1458, 3349, 1517, 3211, 1556, 3093, 1615, 2975, 1655, 2857, 1714, 2738, 1773, 2620, 1812, 2502, 1871, 2384, 1931, 2285, 1970, 2167, 2029, 2068, 2068, 1950, 2128, 1852, 2167, 1753, 2226, 1655, 2266, 1556, 2325, 1458, 2364, 1359, 2423, 1261, 2463, 1182, 2384, 1103, 2443, 1004, 2502, 926, 2581, 847, 2640, 768, 2699, 689, 2758, 610, 2837, 551, 2876, 472, 2916, 413, 2955, 354, 2995, 275, 3054, 216, 3093, 177, 3133]
[6957, 315, 6889, 354, 6822, 374, 6754, 394, 6669, 433, 6567, 472, 6466, 492, 6364, 532, 6262, 571, 6144, 591, 6042, 630, 5923, 669, 5805, 709, 5686, 748, 5567, 788, 5466, 827, 5347, 866, 5228, 906, 5103, 965, 4965, 1004, 4827, 1044, 4689, 1103, 4551, 1142, 4413, 1182, 4295, 1241, 4157, 1280, 4019, 1339, 3901, 1379, 3763, 1438, 3645, 1477, 3507, 1536, 3389, 1576, 3251, 1635, 3133, 1674, 3014, 1733, 2896, 1793, 2778, 1832, 2660, 1891, 2541, 1931, 2443, 1990, 2325, 2049, 2206, 2088, 2108, 2147, 1990, 2187, 1891, 2246, 1793, 2285, 1694, 2344, 1596, 2384, 1497, 2443, 1399, 2482, 1320, 2541, 1221, 2443, 1142, 2522, 1044, 2581, 965, 2640, 886, 2719, 807, 2778, 729, 2837, 650, 2896, 591, 2935, 512, 2995, 453, 3034, 394, 3073, 334, 3113, 275, 3152, 216, 3192]
[6991, 394, 6923, 413, 6856, 433, 6788, 472, 6703, 492, 6601, 532, 6500, 571, 6398, 591, 6296, 630, 6178, 669, 6076, 709, 5957, 748, 5839, 788, 5720, 827, 5618, 866, 5500, 906, 5381, 945, 5262, 985, 5142, 1024, 5004, 1064, 4866, 1123, 4729, 1162, 4591, 1201, 4472, 1261, 4334, 1300, 4197, 1359, 4059, 1399, 3940, 1458, 3802, 1497, 3684, 1556, 3546, 1596, 3428, 1655, 3310, 1694, 3172, 1753, 3054, 1812, 2935, 1852, 2817, 1911, 2699, 1950, 2581, 2009, 2482, 2068, 2364, 2108, 2246, 2167, 2147, 2206, 2049, 2266, 1931, 2305, 1832, 2364, 1733, 2403, 1635, 2463, 1536, 2502, 1438, 2561, 1359, 2600, 1261, 2522, 1182, 2581, 1083, 2660, 1004, 2719, 926, 2778, 847, 2837, 768, 2916, 709, 2975, 630, 3014, 551, 3054, 492, 3093, 433, 3133, 374, 3172, 315, 3211, 256, 3251]
[7025, 453, 6974, 472, 6906, 512, 6822, 532, 6737, 571, 6635, 591, 6534, 630, 6432, 669, 6330, 689, 6228, 729, 6110, 768, 5991, 807, 5873, 847, 5771, 886, 5652, 926, 5534, 965, 5415, 1004, 5296, 1044, 5178, 1103, 5044, 1142, 4906, 1182, 4768, 1241, 4650, 1280, 4512, 1320, 4374, 1379, 4236, 1418, 4118, 1477, 3980, 1517, 3842, 1576, 3724, 1615, 3586, 1674, 3467, 1714, 3349, 1773, 3231, 1832, 3093, 1871, 2975, 1931, 2857, 1970, 2738, 2029, 2640, 2088, 2522, 2128, 2403, 2187, 2305, 2226, 2187, 2285, 2088, 2325, 1970, 2384, 1871, 2443, 1773, 2482, 1674, 2522, 1576, 2581, 1497, 2620, 1399, 2679, 1300, 2600, 1221, 2660, 1142, 2719, 1044, 2798, 965, 2857, 886, 2916, 807, 2975, 748, 3034, 669, 3073, 610, 3133, 532, 3172, 472, 3211, 413, 3251, 354, 3290, 295, 3330]
[7059, 512, 7008, 551, 6940, 571, 6856, 610, 6771, 630, 6669, 669, 6584, 709, 6466, 729, 6364, 768, 6262, 807, 6144, 847, 6025, 886, 5923, 926, 5805, 965, 5686, 1004, 5567, 1044, 5449, 1083, 5330, 1123, 5212, 1162, 5083, 1221, 4945, 1261, 4827, 1300, 4689, 1359, 4551, 1399, 4413, 1438, 4275, 1497, 4157, 1536, 4019, 1596, 3901, 1635, 3763, 1694, 3645, 1733, 3507, 1793, 3389, 1852, 3270, 1891, 3152, 1950, 3014, 1990, 2896, 2049, 2798, 2108, 2679, 2147, 2561, 2206, 2443, 2246, 2344, 2305, 2226, 2344, 2128, 2403, 2029, 2463, 1911, 2502, 1812, 2561, 1714, 2600, 1635, 2660, 1536, 2699, 1438, 2738, 1359, 2660, 1261, 2738, 1182, 2798, 1103, 2857, 1004, 2916, 926, 2995, 866, 3054, 788, 3113, 709, 3152, 650, 3192, 571, 3231, 512, 3270, 453, 3310, 394, 3349, 334, 3389]
[7093, 591, 7042, 610, 6974, 650, 6889, 669, 6805, 709, 6720, 729, 6618, 768, 6517, 807, 6398, 847, 6296, 866, 6178, 906, 6076, 945, 5957, 985, 5839, 1024, 5720, 1064, 5601, 1103, 5483, 1142, 5364, 1201, 5245, 1241, 5142, 1280, 5004, 1320, 4866, 1379, 4729, 1418, 4591, 1477, 4453, 1517, 4334, 1556, 4197, 1615, 4059, 1655, 3940, 1714, 3802, 1753, 3684, 1812, 3546, 1871, 3428, 1911, 3310, 1970, 3192, 2009, 3073, 2068, 2955, 2128, 2837, 2167, 2719, 2226, 2600, 2266, 2502, 2325, 2384, 2384, 2266, 2423, 2167, 2482, 2068, 2522, 1970, 2581, 1871, 2620, 1773, 2679, 1674, 2719, 1576, 2778, 1477, 2817, 1399, 2738, 1300, 2798, 1221, 2876, 1142, 2935, 1064, 2995, 985, 3054, 906, 3133, 827, 3172, 748, 3231, 689, 3270, 630, 3310, 551, 3349, 492, 3389, 433, 3428, 374, 3467]
