0,1.235,0.791
1,1.228,0.789
2,1.221,0.787
3,1.214,0.785
5,1.208,0.783
6,1.202,0.781
7,1.196,0.779
8,1.191,0.778
9,1.185,0.776
10,1.18,0.775
11,1.175,0.773
13,1.17,0.772
14,1.166,0.771
15,1.161,0.77
16,1.157,0.768
17,1.152,0.767
18,1.148,0.766
19,1.144,0.766
21,1.14,0.765
22,1.136,0.764
23,1.132,0.763
24,1.128,0.763
25,1.124,0.762
26,1.121,0.762
28,1.117,0.761
29,1.114,0.761
30,1.11,0.761
31,1.107,0.76
32,1.103,0.76
33,1.1,0.76
34,1.096,0.76
36,1.093,0.76
37,1.089,0.76
38,1.086,0.76
39,1.082,0.76
40,1.079,0.76
41,1.076,0.76
42,1.072,0.761
44,1.069,0.761
45,1.065,0.761
46,1.062,0.762
47,1.058,0.762
48,1.055,0.763
49,1.051,0.763
50,1.048,0.764
52,1.044,0.764
53,1.04,0.765
54,1.037,0.766
55,1.033,0.767
56,1.029,0.767
57,1.025,0.768
58,1.021,0.769
60,1.017,0.77
61,1.013,0.771
62,1.009,0.772
63,1.004,0.774
64,1.0,0.775
65,0.995,0.776
66,0.991,0.778
68,0.986,0.779
69,0.981,0.781
70,0,0
